word1	word2	label	label_idx
theist	atheist	Antonym	0
genius	idiot	Antonym	0
sunward	antisunward	Antonym	0
on campus	off campus	Antonym	0
isohydric	anisohydric	Antonym	0
fallacy of composition	fallacy of division	Antonym	0
minoritarian	majoritarian	Antonym	0
just	unrighteous	Antonym	0
protest	working	Antonym	0
establishment	abolition	Antonym	0
reply	initiate	Antonym	0
hypovitaminosis	hypervitaminosis	Antonym	0
now	other	Antonym	0
happily	sadly	Antonym	0
charge	pay for	Antonym	0
top	foot	Antonym	0
endorheic	exorheic	Antonym	0
strongling	weakling	Antonym	0
selfish	altruistic	Antonym	0
cooperative	adversarial	Antonym	0
menseful	menseless	Antonym	0
might	weak	Antonym	0
hyperfunction	hypofunction	Antonym	0
irrevocability	revocability	Antonym	0
weigh anchor	drop anchor	Antonym	0
team sport	individual sport	Antonym	0
disinformation	information	Antonym	0
hit	flop	Antonym	0
organize	chaos	Antonym	0
sparkling	noncarbonated	Antonym	0
date	stood	Antonym	0
dialefe	sinalefe	Antonym	0
bull	female	Antonym	0
unstoppable	stoppable	Antonym	0
self sterile	self fertile	Antonym	0
actual	smaller	Antonym	0
deassert	assert	Antonym	0
professional	unprofessional	Antonym	0
reticence	openness	Antonym	0
she cat	he cat	Antonym	0
john doe	jane roe	Antonym	0
column	rows	Antonym	0
blackwashing	whitewashing	Antonym	0
befriend	defriend	Antonym	0
cover	uncover	Antonym	0
giddyup	whoa	Antonym	0
lexical definition	stipulative definition	Antonym	0
inimitable	commonplace	Antonym	0
microcosm	macrocosm	Antonym	0
follow through	backswing	Antonym	0
lenient	stringent	Antonym	0
trick	fair	Antonym	0
abience	adience	Antonym	0
graduate	student	Antonym	0
dual	single	Antonym	0
positronic	electronic	Antonym	0
senile	juvenile	Antonym	0
recent	long	Antonym	0
instrumental	noninstrumental	Antonym	0
weaken	strengthen	Antonym	0
unhealthy	healthy	Antonym	0
unsolicited	solicited	Antonym	0
temporal hour	equal hour	Antonym	0
uncomfortable	comfortable	Antonym	0
in town	out of town	Antonym	0
aerobiotic	nonaerobiotic	Antonym	0
untruth	verity	Antonym	0
online	hardcopy	Antonym	0
chillax	badly	Antonym	0
uncuttable	cuttable	Antonym	0
aborad	orad	Antonym	0
synthesis	analysis	Antonym	0
mountain	flat land	Antonym	0
fast forward	rewind	Antonym	0
pervious	impervious	Antonym	0
manyness	singleness	Antonym	0
inner solar system	outer solar system	Antonym	0
