	model_name	HR@1	W_HR@1	HR@3	W_HR@3	HR@5	W_HR@5	jaccard	const_cos	cos
0	baseline	0.004866518353726363	0.004866518353726363	0.0033370411568409346	0.004735343989361878	0.0027808676307007787	0.004953843430936055	0.0017045142375834933	0.00290013263718253	0.0023821070367053216
1	bert-base	0.34068427262002	0.34068427262002	0.18318359197749343	0.2792627038319276	0.1289409202286959	0.2530944121836206	0.13831788698301284	0.2114075264633899	0.32389762730158883
2	albert-base	0.2590525456030493	0.2590525456030493	0.1451734882173216	0.2171384876536661	0.1041564570287685	0.1998260788841491	0.2800844494593501	0.3979213722813367	0.5545336538385245
3	roberta-base	0.1262365005898902	0.1262365005898902	0.08240312188038842	0.101758335238979	0.06380796805517742	0.09044119905855702	0.13852865214399512	0.21253827083449886	0.2635733770992081
4	electra-small	0.4974589345675651	0.4974589345675651	0.24684635629367452	0.4386006115646479	0.16930755966966152	0.41363428724572837	0.2101458304517761	0.31361278780834356	0.5650299136281545
5	bert-large	0.3587439876576822	0.3587439876576822	0.20086517227818615	0.2910626013681622	0.143434068427262	0.2606642389468442	0.21811438602907335	0.3009256136509785	0.40618995340762704
6	albert-large	0.49677829204102003	0.49677829204102003	0.24546994585110568	0.4174512770392295	0.16712950358471731	0.3825124654904779	0.27231378208946516	0.39048806550114995	0.6598491938504951
7	roberta-large	0.27475269988202194	0.27475269988202194	0.16813382944610822	0.22658111611882842	0.1264270804973228	0.20476069766728444	0.2631500817739298	0.3573917660510057	0.4528042938009284
8	electra-large	0.35189218622379526	0.35189218622379526	0.19195631787518527	0.2796264040491802	0.13675469643343316	0.2479923879522432	0.19078479447041946	0.2860422333805359	0.41179976339201546
9	meaning_matching-bert-large	0.1892470776156248	0.1892470776156248	0.13070258234710422	0.15779270425809228	0.10304944456545415	0.1414490301538814	0.3061198587104914	0.42588924509952086	0.5200446804982821
10	meaning_matching-roberta-large	0.22079430770347783	0.22079430770347783	0.1267697669353082	0.18941202407552293	0.09199157772453351	0.17634866060590412	0.16236472120759768	0.24981443971827566	0.33455020875696323
