	category	HR@1	W_HR@1	HR@3	W_HR@3	HR@5	W_HR@5	jaccard	const_cos	cos
0	ask_antonym	0.4394474232946083	0.4394474232946083	0.2300317744017476	0.36265301169540126	0.16153708668453978	0.3299804658539711	0.2124728587709685	0.306850423631413	0.4510834389994051
1	ask_synonym	0.014682086426803732	0.014682086426803732	0.03273526238974554	0.021918515585475657	0.029207119741100324	0.022192107075170407	0.21858595645026818	0.31499156568408593	0.46629684574690444
2	Adjective	0.29920102666004306	0.29920102666004306	0.15708312634542143	0.247134608115664	0.10897499586024176	0.2248749437916192	0.19104736787095314	0.2763218444931079	0.39592634727992504
3	Adverb	0.14332907075873827	0.14332907075873827	0.08660130718954247	0.11891054903426997	0.06268115942028986	0.10699148218733315	0.1502510818810312	0.22037506248935235	0.29659559424180465
4	Noun	0.3695029003102658	0.3695029003102658	0.2011893520392104	0.3082652631357157	0.1438823688115473	0.2813824675341593	0.22828877580499324	0.32901170160514515	0.49116329495780386
5	X is different from Y.	0.40962913315460237	0.40962913315460237	0.22449359547214776	0.33880254055624287	0.16005361930294906	0.3070106410798954	0.16573270343240104	0.24652813021787734	0.33591122830308645
6	X is another form of Y.	0.00749571673329526	0.00749571673329526	0.015824290881401103	0.01153237701828481	0.015319817247287267	0.012032375561946328	0.16222573060717174	0.2506147743439385	0.38150682737842334
7	X is the opposite of Y.	0.47727882037533514	0.47727882037533514	0.2434614238903783	0.3961161725890666	0.16995084897229668	0.3633554925625216	0.16582188350756644	0.25393789517130705	0.38530420254288855
8	X is a synonym of Y.	0.02334380354083381	0.02334380354083381	0.05687226346849419	0.03554228289865726	0.04977155910908053	0.03585197405612131	0.3355423381938022	0.4583157888561719	0.6958882892988933
9	X is an antonym of Y.	0.4314343163538874	0.4314343163538874	0.2221403038427167	0.35304032194089446	0.15460679177837355	0.3195752639194965	0.305863989372938	0.4200852455050547	0.6320348861522402
10	X is a rephrasing of Y.	0.013206739006282124	0.013206739006282124	0.025509232819341327	0.018680886839484906	0.022529982866933182	0.018691971607443597	0.15798980054983064	0.23604413385214745	0.32149542056339653
