model	data	val_acc_mean	val_f1_mean	val_acc_std	val_f1_std
bert-large-cased	mnli_matched	0.8551	0.855	0.0045	0.0045
bert-large-cased	mnli_mismatched	0.8535	0.8532	0.0055	0.0055
bert-large-cased	mrpc	0.8088	0.8012	0.0203	0.0238
bert-large-cased	qnli	0.917	0.917	0.0013	0.0013
bert-large-cased	qqp	0.8989	0.8994	0.0018	0.0021
bert-large-cased	rte	0.6404	0.6388	0.0397	0.0385
bert-large-cased	sst	0.9234	0.9234	0.0028	0.0028
meaning-match-bert-large	mnli_matched	0.8553	0.8553	0.0043	0.0041
meaning-match-bert-large	mnli_mismatched	0.8542	0.854	0.0026	0.0024
meaning-match-bert-large	mrpc	0.8284	0.8251	0.0106	0.0106
meaning-match-bert-large	qnli	0.9157	0.9156	0.0024	0.0024
meaning-match-bert-large	qqp	0.9001	0.9008	0.0008	0.0008
meaning-match-bert-large	rte	0.6383	0.6333	0.0357	0.0383
meaning-match-bert-large	sst	0.9239	0.9238	0.0033	0.0033
meaning-match-roberta-large	mnli_matched	0.9033	0.9031	0.0015	0.0015
meaning-match-roberta-large	mnli_mismatched	0.8992	0.8989	0.0014	0.0015
meaning-match-roberta-large	mrpc	0.8824	0.88	0.0153	0.0174
meaning-match-roberta-large	qnli	0.9437	0.9437	0.0006	0.0006
meaning-match-roberta-large	qqp	0.9096	0.9101	0.0004	0.0004
meaning-match-roberta-large	rte	0.813	0.8128	0.0226	0.0226
meaning-match-roberta-large	sst	0.9539	0.9539	0.0032	0.0032
roberta-large	mnli_matched	0.9024	0.9023	0.0005	0.0005
roberta-large	mnli_mismatched	0.9003	0.9001	0.0018	0.0018
roberta-large	mrpc	0.8716	0.8706	0.0111	0.0114
roberta-large	qnli	0.9448	0.9448	0.0009	0.0009
roberta-large	qqp	0.9092	0.9095	0.0036	0.0034
roberta-large	rte	0.7581	0.7562	0.0243	0.025
roberta-large	sst	0.9569	0.9569	0.0009	0.0009
