model	data	val_acc	val_f1
bert-large-cased	mnli_matched	0.8502292409577178	0.8499998970645898
bert-large-cased	mnli_mismatched	0.8460130187144019	0.8456721285696599
bert-large-cased	mrpc	0.803921568627451	0.7866205305651672
bert-large-cased	qnli	0.9168954786747209	0.916889630899898
bert-large-cased	qqp	0.8957704674746475	0.8956951330315899
bert-large-cased	rte	0.5776173285198556	0.5773188053307982
bert-large-cased	sst	0.9208715596330275	0.9208781163502089
meaning-match-bert-large	mnli_matched	0.8556291390728477	0.8556769742589094
meaning-match-bert-large	mnli_mismatched	0.855166802278275	0.8549931775081346
meaning-match-bert-large	mrpc	0.8161764705882353	0.8155866624724756
meaning-match-bert-large	qnli	0.9136005857587406	0.9135552873103917
meaning-match-bert-large	qqp	0.9008656937917388	0.9014437534815286
meaning-match-bert-large	rte	0.5956678700361011	0.5801277106470107
meaning-match-bert-large	sst	0.9277522935779816	0.9277423112382874
meaning-match-roberta-large	mnli_matched	0.906062149770759	0.9059397821083233
meaning-match-roberta-large	mnli_mismatched	0.8995117982099268	0.8992214760017794
meaning-match-roberta-large	mrpc	0.8602941176470589	0.8544311997926924
meaning-match-roberta-large	qnli	0.943437671609006	0.9434386002811376
meaning-match-roberta-large	qqp	0.9092010883007667	0.9097392489107962
meaning-match-roberta-large	rte	0.8339350180505415	0.8336607391636179
meaning-match-roberta-large	sst	0.9495412844036697	0.9495452664984341
roberta-large	mnli_matched	0.9018848700967906	0.901639103064202
roberta-large	mnli_mismatched	0.9002237591537836	0.8998966528758003
roberta-large	mrpc	0.8872549019607843	0.8874857579999349
roberta-large	qnli	0.9458173164927696	0.9458098724916667
roberta-large	qqp	0.9140984417511748	0.9141467837923568
roberta-large	rte	0.7833935018050542	0.7822346593231447
roberta-large	sst	0.9564220183486238	0.9564254574304658
