model	data	val_acc	val_f1
bert-large-cased	mnli_matched	0.8496179317371371	0.8496409269046306
bert-large-cased	mnli_mismatched	0.8490642799023597	0.8490266383668273
bert-large-cased	mrpc	0.8014705882352942	0.8008335954702737
bert-large-cased	qnli	0.9154310818231741	0.9154071564318103
bert-large-cased	qqp	0.8976997279248083	0.8984405585207159
bert-large-cased	rte	0.6642599277978339	0.6629973653657165
bert-large-cased	sst	0.9220183486238532	0.9220146550477544
meaning-match-bert-large	mnli_matched	0.8582781456953642	0.8579641427832655
meaning-match-bert-large	mnli_mismatched	0.8550650935720098	0.8545085242994298
meaning-match-bert-large	mrpc	0.8186274509803921	0.8125017366417517
meaning-match-bert-large	qnli	0.9121361889071938	0.912133921966692
meaning-match-bert-large	qqp	0.8986396240415533	0.899247784861726
meaning-match-bert-large	rte	0.6353790613718412	0.6353027738583652
meaning-match-bert-large	sst	0.9220183486238532	0.9219986430178788
meaning-match-roberta-large	mnli_matched	0.9022924095771778	0.9021976740442712
meaning-match-roberta-large	mnli_mismatched	0.9003254678600489	0.9001718716874585
meaning-match-roberta-large	mrpc	0.8970588235294118	0.8958895689125262
meaning-match-roberta-large	qnli	0.9436207212154494	0.943619565077343
meaning-match-roberta-large	qqp	0.9093742270591145	0.9100034949203065
meaning-match-roberta-large	rte	0.776173285198556	0.776249297405777
meaning-match-roberta-large	sst	0.9506880733944955	0.9506921592926537
roberta-large	mnli_matched	0.9032093734080489	0.9030197973803338
roberta-large	mnli_mismatched	0.899613506916192	0.8992946737475471
roberta-large	mrpc	0.8799019607843137	0.8780828268260019
roberta-large	qnli	0.9445359692476661	0.9445363781051396
roberta-large	qqp	0.9064803363838734	0.9069200288968171
roberta-large	rte	0.776173285198556	0.7754380192637778
roberta-large	sst	0.9552752293577982	0.955278935328379
